name;description;year;manufacturer;width;height;rotate
4d20;Personal IRIS 4D/20;1988;Silicon Graphics Inc;1280;1024;0
4d25;Personal IRIS 4D/25;1989;Silicon Graphics Inc;1280;1024;0
4d30;Personal IRIS 4D/30;1991;Silicon Graphics Inc;640;240;0
4d35;Personal IRIS 4D/35;1991;Silicon Graphics Inc;640;240;0
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;512;224;0
4enlinea;Cuatro en Linea;1991;Compumatic;640;200;0
4enraya;4 En Raya (set 1);1990;IDSA;256;224;0
4in1;4 Fun in 1;1981;Armenia / Food and Fun;256;224;90
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);2002;K1 Soft;256;224;0
4psimasy;Mahjong 4P Simasyo (Japan);1994;Sphinx / AV Japan;640;240;0
4roses;Four Roses (encrypted, set 1);1999;<unknown>;384;232;0
500gp;500 GP (US, 5GP3 Ver. C);1998;Namco;640;480;0
5acespkr;5-Aces Poker;198?;<unknown>;480;240;0
5clown;Five Clown (English, set 1);1993;IGS;256;256;0
64street;64th. Street - A Detective Story (World);1991;Jaleco;256;224;0
68ksbc;68k Single Board Computer;2002;Wichit Sirichote;640;240;0
720;720 Degrees (rev 4);1986;Atari Games;512;384;0
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);1990;Dynax;508;240;180
7mezzo;7 e Mezzo;198?;<unknown>;256;232;0
7ordi;7 Ordi (Korea);2002;Yun Sung;320;240;0
7smash;7 Smash;1993;Sovic;512;256;0
86lions;86 Lions;1985;Aristocrat;304;216;0
88games;'88 Games;1988;Konami;320;224;0
8ball;Video Eight Ball;1982;Century Electronics;240;248;90
8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Electronics USA license);256;224;270
98best44;Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07);1998;SNK;384;240;0
9ballsht;9-Ball Shootout (set 1);1993;E-Scape EnterMedia (Bundra license);320;240;0
a1000;Amiga 1000 (PAL);1985;Commodore;724;567;0
a1010;Textel Compact A1010-0;1993;Humantechnik;640;201;0
a1200;Amiga 1200 (PAL);1992;Commodore;724;567;0
a2000;Amiga 2000 (PAL);1987;Commodore;724;567;0
a2600;Atari 2600 (NTSC);1977;Atari;176;223;0
a3000;Amiga 3000 (PAL);1990;Commodore;724;567;0
a400;Atari 400 (NTSC);1979;Atari;336;225;0
a4000;Amiga 4000/040 (PAL);1992;Commodore;724;567;0
a4000t;Amiga 4000T (PAL);1994;Commodore;724;567;0
a500;Amiga 500 (PAL);1987;Commodore;724;567;0
a500p;Amiga 500 Plus (PAL);1992;Commodore;724;567;0
a5105;BIC A5105;1989;VEB Robotron;320;200;0
a5120;A5120;1982;VEB Robotron;640;480;0
a51site4;Area 51: Site 4 (HD Rev 2.01, September 7, 1998);1998;Atari Games;640;240;0
a5200;Atari 5200;1982;Atari;336;225;0
a600;Amiga 600 (PAL);1992;Commodore;724;567;0
a7150;A7150;1986;VEB Robotron;640;400;0
a7800;Atari 7800 (NTSC);1986;Atari;320;224;0
a800;Atari 800 (NTSC);1979;Atari;336;225;0
a800xl;Atari 800XL (NTSC);1983;Atari;336;225;0
aa310;Archimedes 310;1987;Acorn;735;292;0
aa4000;Acorn A4000;1992;Acorn;735;292;0
aa5000;Acorn A5000;1991;Acorn;735;292;0
aaa;Ambassador;1981;Ann Arbor;800;240;0
aadvent;African Adventure (Konami Endeavour);200?;Konami;640;480;0
aafb;All American Football (rev E);1989;Leland Corporation;320;240;270
aar_101;Aaron Spelling (1.01);1992;Data East;128;32;0
abacus;Abacus (Ver 1.0);2001;Nazionale Elettronica;512;256;0
abaseb;Atari Baseball (set 1);1979;Atari;304;240;0
abc1600;ABC 1600;1985;Luxor;768;1024;0
abc80;ABC 80;1978;Luxor Datorer AB;354;298;0
abc800c;ABC 800 C/HR;1981;Luxor Datorer AB;480;480;0
abc802;ABC 802;1983;Luxor Datorer AB;480;240;0
abc806;ABC 806;1983;Luxor Datorer AB;480;250;0
abcheck;Abnormal Check;1996;Namco;288;224;0
abcop;A.B. Cop (World) (FD1094 317-0169b);1990;Sega;320;224;0
abigchs;Big Cheese (Russia) (Atronic);2002;Atronic;512;224;0
abl4play;4 Player System - 10 in 1;200?;Advance Bright Ltd;320;240;0
ablpinb;Pinball (P8002, ABL TV Game);2005;Advance Bright Ltd;256;240;0
ablping;Ping Pong / Table Tennis / Super Ping Pong (PP1100, ABL TV Game);2006;Advance Bright Ltd;256;240;0
abltenni;Wireless Tennis (WT2000, ABL TV Game);2006;Advance Bright Ltd / V-Tac Technology Co Ltd.;320;240;0
abnudge;Animal Bonus Nudge (Version 2.1 Dual);2003;Amcoe;512;288;0
abunai;Abunai Houkago - Mou Matenai (Japan 890325);1989;Green Soft;512;240;0
aburner2;After Burner II;1987;Sega;320;224;0
ac1;Amateurcomputer AC1 Berlin;1984;Frank Heyder;384;128;0
academy;Mephisto Academy;1989;Hegener + Glaser;96;16;0
accomm;Acorn Communicator;1986;Acorn;640;256;0
ace;Ace;1976;Allied Leisure;224;240;0
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;320;224;270
acedrvrw;Ace Driver: Racing Evolution (Rev. AD2, World);1994;Namco;640;480;0
acefruit;Silhouette;1982?;ACE;512;256;270
acheart;Arcana Heart;2005;Examu;640;480;0
acheartf;Arcana Heart Full;2006;Examu;640;480;0
aclown;Clown (Russia) (Atronic);2002;Atronic;512;224;0
acommand;Alien Command;1994;Jaleco;256;224;0
acrnsys3;Acorn System 3 (6502 CPU);1980;Acorn;480;250;0
acrnsys5;Acorn System 5;1982;Acorn;480;250;0
acrobatm;Acrobat Mission;1991;UPL (Taito license);256;224;270
act2000;Action 2000 (Version 3.5E Dual);1999;Amcoe;512;288;0
act5a;ACT-5A;1980;Micro-Term;720;288;0
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 3);1989;Data East Corporation;256;240;0
actionhw;Action Hollywood;1995;TCH;352;240;0
ad2083;A. D. 2083;1983;Midcoin;256;224;90
adam;Adam;1982;Coleco;280;216;0
adillor;Armadillo Racing (Rev. AM1 Ver.A, Japan);1997;Namco;640;480;0
adm12;ADM 12 Video Display Terminal;1984;Lear Siegler;720;275;0
adm23;ADM 23 Smart Terminal;1982;Lear Siegler;720;264;0
adm31;ADM-31 Data Display Terminal;1978;Lear Siegler;800;288;0
adm36;ADM 36 Video Display Terminal;1981;Lear Siegler;720;240;0
advision;Adventure Vision;1982;Entex;152;83;0
aerofgt;Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware);1992;Video System Co.;320;224;270
aes;Neo-Geo AES;1990;SNK;320;224;0
afighter;Action Fighter (FD1089A 317-0018);1986;Sega;320;224;270
afm_113;Attack From Mars (1.13, Free play);1995;Bally;512;128;0
afv_l4;Addams Family Values (Coin Dropper L-4);1993;Williams;512;128;0
agallet;Air Gallet (Europe);1996;Gazelle (Banpresto license);320;240;270
agress;Agress - Missile Daisenryaku (Japan);1991;Palco;320;240;0
aim65;AIM 65;1977;Rockwell;160;200;0
aim65;AIM 65;1977;Rockwell;160;200;0
aim65_40;AIM-65/40;1981;Rockwell;640;240;0
ainferno;Air Inferno (US);1990;Taito America Corporation;512;400;0
airass;Air Assault (World);1993;Irem;320;240;270
airattck;Air Attack (set 1);1996;Comad;256;224;270
airblsjs;Air-Blaster Joystick (AB1500, PAL);2005;Advance Bright Ltd;256;224;0
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);256;224;0
airco22b;Air Combat 22 (Rev. ACS1 Ver.B, Japan);1995;Namco;640;480;0
aircomb;Air Combat (AC2, US);1992;Namco;496;480;0
airduel;Air Duel (World, M82-A-A + M82-B-A);1990;Irem;384;256;270
airlbios;Naomi Airline Pilots (deluxe) Bios;1999;Sega;640;480;0
airrace;Air Race (prototype);1985;Atari Games;512;384;0
airraid;Air Raid (Single PCB);1987;Seibu Kaihatsu;256;224;270
airwolf;Airwolf;1987;Kyugo;288;224;0
ajax;Ajax;1987;Konami;304;224;90
akamaru;Panel & Variety Akamaru Q Jousyou Dont-R;1996;Dynax (Nakanihon license);336;240;0
akatana;Akai Katana (2010/ 8/13 MASTER VER.);2010;Cave (AMI license);320;240;0
aking;Angler King (Japan, AG1 Ver. A);1998;Namco;640;480;0
akiss;Mahjong Angel Kiss (ver 1.0);1995;Jaleco;320;224;0
akkaarrh;Akka Arrh (prototype);1982;Atari;256;240;0
al8800bt;Altair 8800bt;1977;MITS;640;240;0
aladmdb;Aladdin (bootleg of Japanese Megadrive version);1993;bootleg / Sega;256;224;0
alcat7100;Terminal 7100;1984;Alcatel;960;240;0
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;280;240;270
aleck64;Aleck64 PIF BIOS;1998;Nintendo / Seta;640;240;0
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;320;224;0
alfaskop4110;Alfaskop Display Unit 4110;1984;Ericsson;640;400;0
alg3do;ALG 3DO Bios;1993;American Laser Games / The 3DO Company;1280;240;0
alg_bios;American Laser Games BIOS;199?;American Laser Games;724;483;0
alibaba;Ali Baba and 40 Thieves;1982;Sega;288;224;90
alice32;Alice 32;1984;Matra & Hachette;336;270;0
alien;Alien: The Arcade Medal Edition;2005;Capcom;256;256;0
alien3;Alien3: The Gun (World);1993;Sega;416;224;0
alienar;Alien Arena;1985;Duncan Brown;292;240;0
aliencha;Alien Challenge (World);1994;IGS;448;224;0
aliencr;Alien Crush (United Amusements PC Engine);1989;Hudson Soft;1088;242;0
aliens;Aliens (World set 1);1990;Konami;288;224;0
aliensec;Alien Sector;1985;Namco;288;224;0
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;320;224;0
aligator;Alligator Hunt (World, protected);1994;Gaelco;320;240;0
alinvade;Alien Invaders;198?;Forbes?;128;128;90
alleymas;Alley Master;1986;Cinematronics;320;240;270
alm32;Mephisto Almeria 32 Bit;1988;Hegener + Glaser;96;16;0
alnattck;Alien Attack;1981;Coleco;1920;700;0
alnchase;Alien Chase;1984;Tomy;365;1080;0
alpha1v;Alpha One (Vision Electronics);1988;Vision Electronics;240;256;0
alphaho;Alpha Fighter / Head On;19??;Data East Corporation;256;224;270
alphatp2;alphatronic P2;198?;Triumph-Adler;640;288;0
alphatp3;alphatronic P3;1982;Triumph-Adler;640;288;0
alphatro;Alphatronic PC (PAL);1983;Triumph-Adler;640;240;0
alpine;Alpine Ski (set 1);1982;Taito Corporation;256;224;270
alpinerd;Alpine Racer (Rev. AR2 Ver.D, World);1994;Namco;640;480;0
alpinesa;Alpine Surfer (Rev. AF2 Ver.A, World);1996;Namco;640;480;0
alpinr2b;Alpine Racer 2 (Rev. ARS2 Ver.B, World);1996;Namco;640;480;0
altair;Altair;1981;Cidelsa;294;294;90
altaten;Alta Tensione (ver. 2.01a);1999;<unknown>;384;240;0
altbeast;Altered Beast (set 8) (8751 317-0078);1988;Sega;320;224;0
alto2;Alto-II;1977;Xerox;606;808;0
altos2;Altos II Terminal;1983;Altos Computer Systems;800;325;0
altos486;Altos 486;1984;Altos Computer Systems;640;240;0
altos5;Altos 5-15;1982;Altos;640;240;0
altos8600;ACS8600;1981;Altos Computer Systems;640;240;0
am_mg24;Multi Game I (V.Ger 2.4);2000;Amatic Trading GmbH;512;256;0
am_mg24a;Multi Game I (unknown V2.4);2000;Amatic Trading GmbH;512;256;0
am_mg3;Multi Game III (V.Ger 3.5);2000;Amatic Trading GmbH;512;256;0
am_mg35i;Multi Game III (S.Ita 3.5);2000;Amatic Trading GmbH;512;256;0
am_mg3a;Multi Game III (V.Ger 3.64);2000;Amatic Trading GmbH;512;256;0
am_mg4v;Multi Game IV (V.Ger 3.44);2000;Amatic Trading GmbH;512;256;0
am_mg5hu;Multi Game V (AMGHU_V83.65);200?;Amatic Trading GmbH;512;256;0
amazon;Soldier Girl Amazon;1986;Nichibutsu;256;224;270
amazoni2;Amazonia King II (V202BR);2002;IGS;512;256;0
amazonia;Amazonia King (V104BR);1999;IGS;512;256;0
ambush;Ambush;1983;Tecfri;256;224;0
amclink;Amcoe Link Control Box (Version 2.2);200?;Amcoe;512;288;0
amerdart;AmeriDarts (set 1);1989;Ameri;322;241;0
americna;Americana (9131-01);1987;Merit;543;465;0
amidar;Amidar;1982;Konami;768;224;90
ampex210p;210+;1989;Ampex;720;300;0
ampoker2;American Poker II;1990;Novomatic;288;240;0
ampro;Little Z80 Board;1980;Ampro;640;240;0
amspdwy;American Speedway (set 1);1987;Enerdyne Technologies Inc.;256;224;0
amu880;Ausbaufaehiger Mikrocomputer mit dem U 880;1983;Militaerverlag der DDR;384;240;0
amusco;American Music Poker (V1.4);1987;Amusco;592;240;0
amuse;Amuse (Version 50.08 IBA);1982;Greyhound Electronics;416;224;0
amust;Amust Executive 816;1983;Amust;640;480;0
ancienta;Ancient Atlantis (set 1);2002?;Novotech;640;480;0
andretti;Mario Andretti;1995;Gottlieb;128;32;0
androidp;Android (prototype, later build);1987;Nasco;256;192;90
andromed;Andromeda (Japan?);1979;IPM;240;224;270
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;256;240;90
anibonus;Animal Bonus (Version 1.8E Dual);2003;Amcoe;512;288;0
animaljr;Exciting Animal Land Jr. (USA);1993;Nakanihon / East Technology (Taito license);336;240;0
animpkr;unknown animal-themed game (bottom);198?;<unknown>;256;232;0
anithunt;Animal Treasure Hunt (Version 1.9R, set 1);2003;Amcoe;512;288;0
anpanman;Soreike! Anpanman Popcorn Factory (Rev B);1992;Sega;256;224;0
anteater;Anteater;1982;Tago Electronics;768;224;90
antiairc;Anti-Aircraft [TTL];1975;Atari;455;262;0
anzterm;EF315-I220 Teller Terminal (ANZ);1986?;Burroughs;832;240;0
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);2001;Unico;384;224;0
apache3;Apache 3 (rev F);1988;Tatsumi;320;240;0
apb;APB - All Points Bulletin (rev 7);1987;Atari Games;512;384;270
apc;APC;1982;NEC;640;494;0
apexc;All Purpose Electronic X-ray Computer (as described in 1957);1955;Andrew Donald Booth;256;192;0
apfm1000;APF M-1000;1978;APF Electronics Inc.;320;240;0
aplan;A-Plan;1993;WeaShing H.K.;512;224;0
aplarail;Attack Pla Rail (Japan, AP1/VER.A);1998;Namco / Tomy;640;480;0
apollo13;Apollo 13 (5.01);1995;Sega;128;32;0
apparel;Apparel Night (Japan 860929);1986;Central Denshi;512;224;0
apple1;Apple I;1976;Apple Computer;560;192;0
apple10;Apple 10 (Ver 1.21);1998;Sandii';384;240;0
apple2;Apple ][;1977;Apple Computer;560;192;0
apple2c;Apple //c;1984;Apple Computer;560;192;0
apple2e;Apple //e;1983;Apple Computer;560;192;0
apple2gs;Apple IIgs (ROM03);1989;Apple Computer;704;231;0
apple3;Apple ///;1980;Apple Computer;560;192;0
applix;Applix 1616;1986;Applix Pty Ltd;640;200;0
appoooh;Appoooh;1984;Sanritsu / Sega;256;224;0
apricot;Apricot PC;1983;ACT;800;400;0
aquajack;Aqua Jack (World);1990;Taito Corporation Japan;320;240;0
aquajet;Aqua Jet (Rev. AJ2 Ver.B, World);1996;Namco;640;480;0
aquarium;Aquarium (US);1996;Excellent System;320;256;0
aquarius;Aquarius (NTSC);1983;Mattel;320;200;0
aquarush;Aqua Rush (Japan, AQ1/VER.A1);1999;Namco;640;480;0
aquastge;Aqua Stage;1995;Sega;496;384;0
aquastge;Aqua Stage;1995;Sega;496;384;0
ar_bios;Arcadia System BIOS;1988;Arcadia Systems;724;483;0
arabfgt;Arabian Fight (World);1991;Sega;416;224;0
arabian;Arabian;1983;Sun Electronics;256;234;270
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;320;224;0
arac6000;Super Six Plus II English Mark Darts;1990;Arachnid;280;216;0
arbalest;Arbalester;1989;Seta;384;224;270
arcadecl;Arcade Classics (prototype);1992;Atari Games;336;240;0
arcadia;Arcadia 2001;1982;Emerson;192;262;0
arcadian;Arcadia (NMK);1994;NMK;384;224;270
archrivl;Arch Rivals (rev 4.0 6/29/89);1989;Bally Midway;512;480;0
arctthnd;Arctic Thunder (v1.002);2001;Midway Games;640;480;0
arcwins;Arctic Wins (4XF5227H03, USA);1996;Aristocrat;304;216;0
area51;Area 51 (R3000);1996;Atari Games;360;240;0
area51mx;Area 51 / Maximum Force Duo v2.0;1998;Atari Games;360;240;0
arescue;Air Rescue (World);1992;Sega;416;224;0
arescue;Air Rescue (World);1992;Sega;416;224;0
argus;Argus;1986;NMK (Jaleco license);256;224;270
argusg;Argus (Gottlieb, prototype);1984;Gottlieb;256;240;0
aristmk5;MKV Set/Clear Chips (USA);1995;Aristocrat;735;292;0
aristmk6;Aristocrat MK6 System Software;2000;Aristocrat;640;480;0
arkanoid;Arkanoid (World, older);1986;Taito Corporation Japan;256;224;90
arkarea;Ark Area;1988;UPL;256;192;0
arkatour;Tournament Arkanoid (US);1987;Taito America Corporation (Romstar license);256;224;90
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;256;224;270
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);1997;Taito Corporation;320;232;0
arlingtn;Arlington Horse Racing (v1.40-D);1991;Strata/Incredible Technologies;400;240;0
armchmp2;Arm Champs II (ver 2.7);1992;Jaleco;256;224;270
armedf;Armed Formation (Japan);1988;Nichibutsu;320;224;270
armora;Armor Attack;1980;Cinematronics;;;180
armorcar;Armored Car (set 1);1981;Stern Electronics;768;224;90
armwar;Armored Warriors (Euro 941024);1994;Capcom;384;224;0
armwrest;Arm Wrestling;1985;Nintendo;256;224;0
armwrest;Arm Wrestling;1985;Nintendo;256;224;0
as1;AS-1 Controller;1993;Sega;416;224;0
as1;AS-1 Controller;1993;Sega;416;224;0
ashura;Ashura Blaster (World);1990;Taito Corporation Japan;320;224;270
asma2k;AlphaSmart 2000;1997;Intelligent Peripheral Devices;240;36;0
asmapro;AlphaSmart Pro;1995;Intelligent Peripheral Devices;240;36;0
aso;ASO - Armored Scrum Object;1985;SNK;288;216;270
assault;Assault (Rev B);1988;Namco;288;224;90
astdelux;Asteroids Deluxe (rev 3);1980;Atari;;;0
asterix;Asterix (ver EAD);1992;Konami;288;224;0
asteroid;Asteroids (rev 4);1979;Atari;;;0
astoneag;Stone Age (Astro, Ver. ENG.03.A);2004?;Astro Corp.;512;240;0
astorm;Alien Storm (World, 2 Players) (FD1094 317-0154);1990;Sega;320;224;0
astrob;Astro Blaster (version 3);1981;Sega;256;224;270
astrocde;Bally Professional Arcade;1978;Bally Manufacturing;352;240;0
astrocmd;Astro Command;1982;Epoch;1920;525;0
astrof;Astro Fighter (set 1);1979;Data East;256;256;90
astron;Astron Belt;1983;Sega;704;480;0
astropal;Astropal;1980?;Sidam?;260;224;0
astrowar;Astro Wars;1980;Zaccaria / Zelco;240;240;90
astyanax;The Astyanax;1989;Jaleco;256;224;0
asuka;Asuka & Asuka (World);1988;Taito Corporation;320;240;270
asurabld;Asura Blade - Sword of Dynasty (Japan);1998;Fuuki;320;240;0
asurabus;Asura Buster - Eternal Warriors (Japan);2000;Fuuki;320;240;0
asylum;Asylum (prototype);1991;Leland Corporation;320;240;270
atamanot;Computer Quiz Atama no Taisou (Japan);1983;Yachiyo Denki / Uni Enterprize;256;256;90
atarifb;Atari Football (revision 2);1978;Atari;304;240;0
atarisy1;Atari System 1 BIOS;1984;Atari Games;336;240;0
ataxx;Ataxx (rev 5);1990;Leland Corporation;320;240;0
atehate;Athena no Hatena ?;1993;Athena;384;240;0
atetris;Tetris (set 1);1988;Atari Games;336;240;0
athena;Athena;1986;SNK;288;216;0
atlantca;Atlantica (Russia) (Atronic) (set 1);2002;Atronic;512;224;0
atlantis;Battle of Atlantis (set 1);1981;Comsoft;768;224;90
atom;Atom;1979;Acorn;320;240;0
atomicp;Atomic Point (Korea);1990;Philko;320;224;0
atrbonpk;Bonus Poker (Atronic);200?;Atronic;512;224;0
atricmon;I C Money (Atronic);200?;Atronic;512;224;0
atronic;Atronic SetUp/Clear Chips (Russia, set 1);1999;Atronic;512;224;0
atrwild;Wild Thing (Atronic);200?;Atronic;512;224;0
att4425;AT&T Teletype 4425;1983;AT&T;720;351;0
att610;610 Business Communication Terminal;1986;AT&T;720;351;0
att630;630 MTG;1986;AT&T;1024;1024;0
att730x;730X;1990;AT&T;1024;1024;0
attache;Attaché;1982;Otrona;640;240;0
attackfc;Attack Force;1979?;Electronic Games Systems;260;224;0
attckexd;Attack (set 1) [TTL];1977;Exidy;455;262;0
attckufo;Attack UFO;1980;Ryoto Electric Co.;184;176;270
atvtrack;ATV Track (set 1);2002;Gaelco;640;480;0
atworld;Around The World (Version 1.4R CGA);2007;Amcoe;512;288;0
aurail;Aurail (set 3, US) (unprotected);1990;Sega / Westone;320;224;0
aussieby;Aussie Byte II;1984;SME Systems;640;288;0
austin;Austin Powers (3.02);2001;Stern;128;32;0
autmoon;Autumn Moon (1VXFC5488, New Zealand);1999;Aristocrat;304;216;0
av2mj1bb;AV2Mahjong No.1 Bay Bridge no Seijo (Japan);1991;Miki Syouji / AV Japan;640;240;0
av2mj2rg;AV2Mahjong No.2 Rouge no Kaori (Japan);1991;Miki Syouji / AV Japan;640;240;0
avalnche;Avalanche;1978;Atari;256;240;0
avenger;Avenger [TTL];1975;Electra;455;262;0
avengers;Avengers (US set 1);1987;Capcom;256;240;90
avengrgs;Avengers In Galactic Storm (US/Europe 1.0);1995;Data East Corporation;320;240;0
avigo;TI Avigo 10 PDA;1997;Texas Instruments;160;266;0
avsp;Alien vs. Predator (Euro 940520);1994;Capcom;384;224;0
avspirit;Avenging Spirit;1991;Jaleco;256;224;0
avtbingo;Arrow Bingo;1985;Advanced Video Technology;256;256;0
avtnfl;NFL (ver 109);1989;Advanced Video Technology;256;256;0
avtsym14;Symbols (ver 1.4);1985;Advanced Video Technology;256;256;0
awbios;Atomiswave Bios;2001;Sammy;640;480;0
ax150;AX-150 (Arabic) (MSX1);1986;Al Alamiah;280;216;0
ax170;AX-170 (Arabic) (MSX1);1986;Al Alamiah;280;216;0
ax20;AX-20;1982;Axel;640;288;0
ax350;AX-350 (Arabic) (MSX2);1986;Al Alamiah;543;567;0
ax370;AX-370 (Arabic) (MSX2);1986;Al Alamiah;543;567;0
aztarac;Aztarac;1983;Centuri;;;0
azurian;Azurian Attack;1982;Rait Electronics Ltd;768;224;90
b128hp;B128-80HP;1983;Commodore Business Machines;768;312;0
b16;B16;1983;Hitachi;640;400;0
b2m;Bashkiria-2M;1989;BNPO;384;256;0
b3rinsya;Burning Sanrinsya - Burning Tricycle;1997;Sigma;320;240;0
b500;B500;1983;Commodore Business Machines;768;312;0
baboshka;Baboshka (Russia) (Atronic);2002;Atronic;512;224;0
babypac;Baby Pac-Man (set 1);1982;Dave Nutting Associates / Bally;280;216;90
backfire;Backfire! (Japan, set 1);1995;Data East Corporation;320;240;0
backfire;Backfire! (Japan, set 1);1995;Data East Corporation;320;240;0
backfirt;Back Fire (Tecmo, bootleg);1988;Tecmo;256;224;0
baddudes;Bad Dudes vs. Dragonninja (US revision 1);1988;Data East USA;256;240;0
badlands;Bad Lands;1989;Atari Games;336;240;0
bagman;Bagman;1982;Valadon Automation;256;224;270
bakutotu;Bakutotsu Kijuutei;1988;Namco;288;224;180
balcube;Bal Cube;1996;Metro;320;224;0
ballbomb;Balloon Bomber;1980;Taito;260;224;270
ballbros;Balloon Brothers;1992;East Technology;384;240;0
balonfgt;Vs. Balloon Fight (set BF4 A-3);1984;Nintendo;256;240;0
balonfgt;Vs. Balloon Fight (set BF4 A-3);1984;Nintendo;256;240;0
baluba;Baluba-louk no Densetsu (Japan);1986;Able Corp, Ltd.;256;224;90
bambball;Dribble Away Basketball;1979;Bambino;1920;478;0
ban_onep;One Piece Punch Battle (Japan);2004;Bandai / SSD Company LTD;256;224;0
bananadr;Mahjong Banana Dream [BET] (Japan 891124);1989;Digital Soft;512;240;0
bananas;Bananas Go Bahamas (set 1);2002?;Novotech;640;480;0
banbam;BanBam;1984;Sun Electronics;240;224;0
banctec;BancTec ESeries Panel;1989;DALE Electronics;320;200;0
bandit;Bandit (US);1989;Data East USA;256;240;90
bang;Bang!;1998;Gaelco;320;240;0
bangball;Bang Bang Ball (v1.05);1996;Banpresto / Kunihiko Tashiro+Goodhouse;320;224;0
bankp;Bank Panic;1984;Sanritsu / Sega;224;224;0
bankrob;Bank Robbery (Ver. 3.32);1993;Entertainment Technology Corp.;512;248;0
barbball;Barroom Baseball (prototype);1983;Atari;336;225;0
barbwire;Barb Wire;1996;Gottlieb;128;32;0
barek3mb;Bare Knuckle III (bootleg of Megadrive version);1994;bootleg / Sega;256;224;0
barline;Barline (Japan?);1988;Nichibutsu;512;224;180
barricad;Barricade;1976;Ramtek;256;192;0
barrier;Barrier;1979;Cinematronics (Vectorbeam license);;;270
baryon;Baryon - Future Assault (set 1);1997;SemiCom / Tirano;308;224;270
basebal2;Baseball: The Season II;1987;Cinematronics;320;240;0
basic52;MCS BASIC 52;1985;Intel;640;240;0
bass;Sega Bass Fishing;1997;Sega;496;384;0
batcir;Battle Circuit (Euro 970319);1997;Capcom;384;224;0
batman;Batman;1991;Atari Games;336;240;0
batmanf;Batman Forever (4.0);1995;Sega;192;64;0
